id,cuisine
18009,spanish
28583,indian
41580,filipino
29752,british
35687,moroccan
38527,cajun_creole
19666,brazilian
41217,thai
28753,filipino
22659,french
21749,vietnamese
44967,irish
42969,brazilian
44883,korean
20827,indian
23196,mexican
35387,vietnamese
33780,filipino
19001,japanese
16526,thai
42455,korean
47453,french
42478,british
11885,indian
16585,british
29639,thai
26245,russian
38516,mexican
47520,greek
26212,spanish
23696,greek
14926,cajun_creole
13292,greek
27346,chinese
1384,vietnamese
15959,mexican
42297,russian
46235,moroccan
21181,mexican
9809,brazilian
22982,thai
23120,indian
26743,southern_us
12741,japanese
7050,filipino
22437,greek
14760,british
10649,japanese
48065,japanese
39931,jamaican
32935,british
40142,southern_us
19103,cajun_creole
38267,japanese
30512,southern_us
3324,japanese
26197,filipino
384,vietnamese
47230,italian
39748,italian
41038,spanish
24878,mexican
42624,korean
45706,irish
8874,jamaican
23878,brazilian
47234,spanish
24075,korean
46323,filipino
22562,filipino
11358,italian
9201,jamaican
38620,russian
47638,korean
21238,greek
11053,thai
46602,cajun_creole
13937,cajun_creole
21876,moroccan
20798,japanese
24381,cajun_creole
48178,british
45832,southern_us
27560,korean
23247,russian
28975,spanish
43230,chinese
9126,spanish
13021,jamaican
28194,thai
25617,british
36125,greek
16454,russian
1607,spanish
38526,moroccan
18755,cajun_creole
12035,british
16047,filipino
15419,cajun_creole
16971,korean
31459,brazilian
27888,filipino
13900,jamaican
12376,chinese
1658,korean
29431,french
22290,spanish
28464,southern_us
37953,british
20814,korean
35987,greek
2329,korean
43237,japanese
30647,thai
16675,moroccan
37722,mexican
32438,vietnamese
20287,jamaican
43296,indian
6237,moroccan
48560,brazilian
20810,irish
34951,thai
31850,irish
47745,russian
37815,cajun_creole
9872,vietnamese
5592,italian
27411,russian
39320,indian
40247,chinese
19792,italian
40754,filipino
14365,spanish
14468,french
47563,irish
19611,indian
7163,chinese
43069,british
27505,british
36500,greek
25932,filipino
817,italian
8471,british
48250,cajun_creole
9413,british
12097,southern_us
8416,southern_us
5892,moroccan
676,korean
47015,korean
21891,filipino
14630,mexican
